,Company Name,Symbol,Market,Price,Shares,Offer Amount,Date Priced,URL
1823,TRINET GROUP INC,TNET,New York Stock Exchange,$16,"15,000,000","$240,000,000",3/27/2014,http://www.nasdaq.com/markets/ipos/company/trinet-group-inc-73783-74037
1824,APPLIED GENETIC TECHNOLOGIES CORP,AGTC,NASDAQ,$12,"4,166,667","$50,000,004",3/27/2014,http://www.nasdaq.com/markets/ipos/company/applied-genetic-technologies-corp-611847-74387
1825,KING DIGITAL ENTERTAINMENT PLC,KING,New York Stock Exchange,$22.50,"22,200,000","$499,500,000",3/26/2014,http://www.nasdaq.com/markets/ipos/company/king-digital-entertainment-plc-927749-74662
1826,"NORD ANGLIA EDUCATION, INC.",NORD,New York Stock Exchange,$16,"19,000,000","$304,000,000",3/26/2014,http://www.nasdaq.com/markets/ipos/company/nord-anglia-education-inc-927786-74667
1827,"AMBER ROAD, INC.",AMBR,New York Stock Exchange,$13,"7,391,565","$96,090,345",3/21/2014,http://www.nasdaq.com/markets/ipos/company/amber-road-inc-660814-74604
1828,"A10 NETWORKS, INC.",ATEN,New York Stock Exchange,$15,"12,500,000","$187,500,000",3/21/2014,http://www.nasdaq.com/markets/ipos/company/a10-networks-inc-910463-74673
1829,"BORDERFREE, INC.",BRDR,NASDAQ,$16,"5,000,000","$80,000,000",3/21/2014,http://www.nasdaq.com/markets/ipos/company/borderfree-inc-616479-74666
1830,"PULMATRIX, INC.",RTGN,NASDAQ,$7.25,"2,650,000","$19,212,500",3/21/2014,http://www.nasdaq.com/markets/ipos/company/pulmatrix-inc-912970-73193
1831,"VERSARTIS, INC.",VSAR,NASDAQ,$21,"6,000,000","$126,000,000",3/21/2014,http://www.nasdaq.com/markets/ipos/company/versartis-inc-849763-74669
1832,"Q2 HOLDINGS, INC.",QTWO,New York Stock Exchange,$13,"7,760,870","$100,891,310",3/20/2014,http://www.nasdaq.com/markets/ipos/company/q2-holdings-inc-755026-74633
1833,"AKEBIA THERAPEUTICS, INC.",AKBA,NASDAQ,$17,"5,882,353","$100,000,001",3/20/2014,http://www.nasdaq.com/markets/ipos/company/akebia-therapeutics-inc-852465-74654
1834,MEDIWOUND LTD.,MDWD,NASDAQ,$14,"5,000,000","$70,000,000",3/20/2014,http://www.nasdaq.com/markets/ipos/company/mediwound-ltd-926844-74602
1835,PAYLOCITY HOLDING CORP,PCTY,NASDAQ,$17,"7,045,000","$119,765,000",3/19/2014,http://www.nasdaq.com/markets/ipos/company/paylocity-holding-corp-925950-74526
1836,"IGNYTA, INC.",RXDX,NASDAQ,$9.15,"5,245,000","$47,991,750",3/14/2014,http://www.nasdaq.com/markets/ipos/company/ignyta-inc-889488-74749
1837,"CASTLIGHT HEALTH, INC.",CSLT,New York Stock Exchange,$16,"11,100,000","$177,600,000",3/14/2014,http://www.nasdaq.com/markets/ipos/company/castlight-health-inc-776949-74596
1838,"DIPEXIUM PHARMACEUTICALS, INC.",DPRX,NASDAQ,$12,"2,750,000","$33,000,000",3/13/2014,http://www.nasdaq.com/markets/ipos/company/dipexium-pharmaceuticals-inc-833984-74572
1839,GALMED PHARMACEUTICALS LTD.,GLMD,NASDAQ,$13.50,"2,837,400","$38,304,900",3/13/2014,http://www.nasdaq.com/markets/ipos/company/galmed-pharmaceuticals-ltd-926632-74581
1840,ACHAOGEN INC,AKAO,NASDAQ,$12,"6,000,000","$72,000,000",3/12/2014,http://www.nasdaq.com/markets/ipos/company/achaogen-inc-647671-74489
1841,"AQUINOX PHARMACEUTICALS, INC",AQXP,NASDAQ,$11,"4,200,000","$46,200,000",3/7/2014,http://www.nasdaq.com/markets/ipos/company/aquinox-pharmaceuticals-inc-749074-74508
1842,COUPONS.COM INC,COUP,New York Stock Exchange,$16,"10,500,000","$168,000,000",3/7/2014,http://www.nasdaq.com/markets/ipos/company/couponscom-inc-118476-74533
1843,"RECRO PHARMA, INC.",REPH,NASDAQ,$8,"3,750,000","$30,000,000",3/7/2014,http://www.nasdaq.com/markets/ipos/company/recro-pharma-inc-918509-73797
1844,"BG STAFFING, INC.",BGSF,OTCBB,$0.01,"1,541,470","$15,415",4/29/2014,http://www.nasdaq.com/markets/ipos/company/bg-staffing-inc-814205-74294
1845,"LOMBARD MEDICAL, INC.",EVAR,NASDAQ,$11,"5,000,000","$55,000,000",4/25/2014,http://www.nasdaq.com/markets/ipos/company/lombard-medical-inc-929366-74844
1846,VIGGLE INC.,VGGL,NASDAQ,$8,"4,375,000","$35,000,000",4/25/2014,http://www.nasdaq.com/markets/ipos/company/viggle-inc-6393-74380
1847,QUOTIENT LTD,QTNTU,NASDAQ,$8,"5,000,000","$40,000,000",4/25/2014,http://www.nasdaq.com/markets/ipos/company/quotient-ltd-929179-74810
1848,VITAL THERAPIES INC,VTL,NASDAQ,$12,"4,500,000","$54,000,000",4/17/2014,http://www.nasdaq.com/markets/ipos/company/vital-therapies-inc-623342-73730
1849,SABRE CORP,SABR,NASDAQ,$16,"39,200,000","$627,200,000",4/17/2014,http://www.nasdaq.com/markets/ipos/company/sabre-corp-925028-74446
1850,"SPORTSMAN'S WAREHOUSE HOLDINGS, INC.",SPWH,NASDAQ,$9.50,"12,500,000","$118,750,000",4/17/2014,http://www.nasdaq.com/markets/ipos/company/sportsmans-warehouse-holdings-inc-374016-74821
1851,LEJU HOLDINGS LTD,LEJU,New York Stock Exchange,$10,"10,000,000","$100,000,000",4/17/2014,http://www.nasdaq.com/markets/ipos/company/leju-holdings-ltd-929587-74875
1852,MOELIS & CO,MC,New York Stock Exchange,$25,"6,500,000","$162,500,000",4/16/2014,http://www.nasdaq.com/markets/ipos/company/moelis-co-928868-74777
1853,"TRIVASCULAR TECHNOLOGIES, INC.",TRIV,NASDAQ,$12,"6,500,000","$78,000,000",4/16/2014,http://www.nasdaq.com/markets/ipos/company/trivascular-technologies-inc-776072-74846
1854,"PAYCOM SOFTWARE, INC.",PAYC,New York Stock Exchange,$15,"6,645,000","$99,675,000",4/15/2014,http://www.nasdaq.com/markets/ipos/company/paycom-software-inc-924590-74845
1855,"CITY OFFICE REIT, INC.",CIO,New York Stock Exchange,$12.50,"5,800,000","$72,500,000",4/15/2014,http://www.nasdaq.com/markets/ipos/company/city-office-reit-inc-923868-74360
1856,WEIBO CORP,WB,NASDAQ,$17,"16,800,000","$285,600,000",4/14/2014,http://www.nasdaq.com/markets/ipos/company/weibo-corp-929845-74897
1857,"ZOE'S KITCHEN, INC.",ZOES,New York Stock Exchange,13.00-15.00,"5,833,333","$100,624,980",4/11/2014,http://www.nasdaq.com/markets/ipos/company/zoes-kitchen-inc-929355-74839
1858,PHIBRO ANIMAL HEALTH CORP,PAHC,NASDAQ,$15,"12,745,392","$191,180,880",4/11/2014,http://www.nasdaq.com/markets/ipos/company/phibro-animal-health-corp-55542-74847
1859,"PROTEA BIOSCIENCES GROUP, INC.",PRGB,OTCBB,$1.01,"43,210,440","$43,642,544",4/11/2014,http://www.nasdaq.com/markets/ipos/company/protea-biosciences-group-inc-681718-74406
1860,FARMLAND PARTNERS INC.,FPI,American Stock Exchange,$14,"3,800,000","$53,200,000",4/11/2014,http://www.nasdaq.com/markets/ipos/company/farmland-partners-inc-924284-74393
1861,"ENABLE MIDSTREAM PARTNERS, LP",ENBL,New York Stock Exchange,$20,"25,000,000","$500,000,000",4/11/2014,http://www.nasdaq.com/markets/ipos/company/enable-midstream-partners-lp-921091-74066
1862,CERULEAN PHARMA INC.,CERU,NASDAQ,$7,"8,500,000","$59,500,000",4/10/2014,http://www.nasdaq.com/markets/ipos/company/cerulean-pharma-inc-746491-74829
1863,ADAMAS PHARMACEUTICALS INC,ADMS,NASDAQ,$16,"3,000,000","$48,000,000",4/10/2014,http://www.nasdaq.com/markets/ipos/company/adamas-pharmaceuticals-inc-675091-74792
1864,ALLY FINANCIAL INC.,ALLY,New York Stock Exchange,$25,"95,000,000","$2,375,000,000",4/10/2014,http://www.nasdaq.com/markets/ipos/company/ally-financial-inc-12134-66719
1865,SYSOREX GLOBAL HOLDINGS CORP.,SYRX,NASDAQ,$6,"3,333,333","$19,999,998",4/10/2014,http://www.nasdaq.com/markets/ipos/company/sysorex-global-holdings-corp-863999-73701
1866,"IKANG HEALTHCARE GROUP, INC.",KANG,NASDAQ,$14,"10,904,846","$152,667,844",4/9/2014,http://www.nasdaq.com/markets/ipos/company/ikang-healthcare-group-inc-928699-74760
1867,LA QUINTA HOLDINGS INC.,LQ,New York Stock Exchange,$17,"38,250,000","$650,250,000",4/9/2014,http://www.nasdaq.com/markets/ipos/company/la-quinta-holdings-inc-926881-74606
1868,"OPOWER, INC.",OPWR,New York Stock Exchange,$19,"6,100,000","$115,900,000",4/4/2014,http://www.nasdaq.com/markets/ipos/company/opower-inc-756492-74761
1869,GRUBHUB INC.,GRUB,New York Stock Exchange,$26,"7,405,614","$192,545,964",4/4/2014,http://www.nasdaq.com/markets/ipos/company/grubhub-inc-928619-74745
1870,"IMS HEALTH HOLDINGS, INC.",IMS,New York Stock Exchange,$20,"65,000,000","$1,300,000,000",4/4/2014,http://www.nasdaq.com/markets/ipos/company/ims-health-holdings-inc-923497-74324
1871,"FIVE9, INC.",FIVN,NASDAQ,$7,"10,000,000","$70,000,000",4/4/2014,http://www.nasdaq.com/markets/ipos/company/five9-inc-633147-74756
1872,"CORIUM INTERNATIONAL, INC.",CORI,NASDAQ,$8,"6,500,000","$52,000,000",4/3/2014,http://www.nasdaq.com/markets/ipos/company/corium-international-inc-928749-74763
1873,"TARENA INTERNATIONAL, INC.",TEDU,NASDAQ,$9,"15,300,000","$137,700,000",4/3/2014,http://www.nasdaq.com/markets/ipos/company/tarena-international-inc-928558-74738
1874,"RUBICON PROJECT, INC.",RUBI,New York Stock Exchange,$15,"6,770,995","$101,564,925",4/2/2014,http://www.nasdaq.com/markets/ipos/company/rubicon-project-inc-926279-74558
1875,"1347 PROPERTY INSURANCE HOLDINGS, INC.",PIH,NASDAQ,$8,"1,887,500","$15,100,000",4/1/2014,http://www.nasdaq.com/markets/ipos/company/1347-property-insurance-holdings-inc-924272-74389
1876,RESONANT INC,RESN,NASDAQ,$6,"2,700,000","$16,200,000",5/29/2014,http://www.nasdaq.com/markets/ipos/company/resonant-inc-909397-74484
1877,"PARSLEY ENERGY, INC.",PE,New York Stock Exchange,$18.50,"50,000,000","$925,000,000",5/23/2014,http://www.nasdaq.com/markets/ipos/company/parsley-energy-inc-932485-75148
1878,AGILE THERAPEUTICS INC,AGRX,NASDAQ,$6,"9,166,667","$55,000,002",5/23/2014,http://www.nasdaq.com/markets/ipos/company/agile-therapeutics-inc-592569-74905
1879,"HERITAGE INSURANCE HOLDINGS, INC.",HRTG,New York Stock Exchange,$11,"6,000,000","$66,000,000",5/23/2014,http://www.nasdaq.com/markets/ipos/company/heritage-insurance-holdings-inc-933055-75211
1880,"SUPERIOR DRILLING PRODUCTS, INC.",SDPI,American Stock Exchange,$4,"6,750,000","$27,000,000",5/23/2014,http://www.nasdaq.com/markets/ipos/company/superior-drilling-products-inc-931596-75087
1881,SUNEDISON SEMICONDUCTOR LTD,SEMI,NASDAQ,$13,"7,200,000","$93,600,000",5/22/2014,http://www.nasdaq.com/markets/ipos/company/sunedison-semiconductor-ltd-914959-73440
1882,"JD.COM, INC.",JD,NASDAQ,$19,"93,685,620","$1,780,026,780",5/22/2014,http://www.nasdaq.com/markets/ipos/company/jdcom-inc-925884-74521
1883,TECOGEN INC.,TGEN,NASDAQ,$4.75,"647,706","$3,076,604",5/20/2014,http://www.nasdaq.com/markets/ipos/company/tecogen-inc-870544-74589
1884,"TRUECAR, INC.",TRUE,NASDAQ,$9,"7,775,000","$69,975,000",5/16/2014,http://www.nasdaq.com/markets/ipos/company/truecar-inc-674160-75070
1885,JUMEI INTERNATIONAL HOLDING LTD,JMEI,New York Stock Exchange,$22,"11,140,000","$245,080,000",5/16/2014,http://www.nasdaq.com/markets/ipos/company/jumei-international-holding-ltd-932483-75147
1886,MERK GOLD TRUST,OUNZ,New York Stock Exchange,$13.06,"57,416,000","$749,852,960",5/16/2014,http://www.nasdaq.com/markets/ipos/company/merk-gold-trust-880129-69701
1887,"BANKWELL FINANCIAL GROUP, INC.",BWFG,NASDAQ,$18,"2,702,703","$48,648,654",5/15/2014,http://www.nasdaq.com/markets/ipos/company/bankwell-financial-group-inc-841610-75085
1888,"ZENDESK, INC.",ZEN,New York Stock Exchange,$9,"11,111,111","$99,999,999",5/15/2014,http://www.nasdaq.com/markets/ipos/company/zendesk-inc-842969-75129
1889,"SERVISFIRST BANCSHARES, INC.",SFBS,NASDAQ,$91,"625,000","$56,875,000",5/14/2014,http://www.nasdaq.com/markets/ipos/company/servisfirst-bancshares-inc-774467-74431
1890,TUNIU CORP,TOUR,NASDAQ,$9,"8,000,000","$72,000,000",5/9/2014,http://www.nasdaq.com/markets/ipos/company/tuniu-corp-931587-75081
1891,PBF LOGISTICS LP,PBFX,New York Stock Exchange,$23,"13,750,000","$316,250,000",5/9/2014,http://www.nasdaq.com/markets/ipos/company/pbf-logistics-lp-931445-75063
1892,CHEETAH MOBILE INC.,CMCM,New York Stock Exchange,$14,"12,000,000","$168,000,000",5/8/2014,http://www.nasdaq.com/markets/ipos/company/cheetah-mobile-inc-931330-75050
1893,"K2M GROUP HOLDINGS, INC.",KTWO,NASDAQ,$15,"8,825,000","$132,375,000",5/8/2014,http://www.nasdaq.com/markets/ipos/company/k2m-group-holdings-inc-836065-74885
1894,DORIAN LPG LTD.,LPG,New York Stock Exchange,$19,"7,105,263","$134,999,997",5/8/2014,http://www.nasdaq.com/markets/ipos/company/dorian-lpg-ltd-929265-74825
1895,ALDER BIOPHARMACEUTICALS INC,ALDR,NASDAQ,$10,"8,000,000","$80,000,000",5/8/2014,http://www.nasdaq.com/markets/ipos/company/alder-biopharmaceuticals-inc-767507-74926
1896,GASLOG PARTNERS LP,GLOP,New York Stock Exchange,$21,"8,400,000","$176,400,000",5/7/2014,http://www.nasdaq.com/markets/ipos/company/gaslog-partners-lp-931705-75101
1897,SCYNEXIS INC,SCYX,NASDAQ,$10,"6,200,000","$62,000,000",5/2/2014,http://www.nasdaq.com/markets/ipos/company/scynexis-inc-374539-74739
1898,"PAPA MURPHY'S HOLDINGS, INC.",FRSH,NASDAQ,$11,"5,833,333","$64,166,663",5/2/2014,http://www.nasdaq.com/markets/ipos/company/papa-murphys-holdings-inc-929481-74863
1899,"ALDEYRA THERAPEUTICS, INC.",ALDX,NASDAQ,$8,"1,500,000","$12,000,000",5/2/2014,http://www.nasdaq.com/markets/ipos/company/aldeyra-therapeutics-inc-687992-74346
1900,ARES MANAGEMENT LP,ARES,New York Stock Exchange,$19,"11,363,636","$215,909,084",5/2/2014,http://www.nasdaq.com/markets/ipos/company/ares-management-lp-114420-75021
1901,"MICHAELS COMPANIES, INC.",MIK,NASDAQ,$17,"27,777,778","$472,222,226",6/27/2014,http://www.nasdaq.com/markets/ipos/company/michaels-companies-inc-922897-74257
1902,MOKO SOCIAL MEDIA LTD,MOKO,NASDAQ,$7.50,"1,100,000","$8,250,000",6/27/2014,http://www.nasdaq.com/markets/ipos/company/moko-social-media-ltd-832981-75479
1903,"NEXTERA ENERGY PARTNERS, LP",NEP,New York Stock Exchange,$25,"16,250,000","$406,250,000",6/27/2014,http://www.nasdaq.com/markets/ipos/company/nextera-energy-partners-lp-935206-75496
1904,SERVICEMASTER GLOBAL HOLDINGS INC,SERV,New York Stock Exchange,$17,"35,900,000","$610,300,000",6/26/2014,http://www.nasdaq.com/markets/ipos/company/servicemaster-global-holdings-inc-772415-74968
1905,TCP INTERNATIONAL HOLDINGS LTD.,TCPI,New York Stock Exchange,$11,"7,142,858","$78,571,438",6/26/2014,http://www.nasdaq.com/markets/ipos/company/tcp-international-holdings-ltd-878132-75506
1906,GARNERO GROUP ACQUISITION CO,GGACU,NASDAQ,$10,"12,500,000","$125,000,000",6/26/2014,http://www.nasdaq.com/markets/ipos/company/garnero-group-acquisition-co-935270-75502
1907,"GOPRO, INC.",GPRO,NASDAQ,$24,"17,800,000","$427,200,000",6/26/2014,http://www.nasdaq.com/markets/ipos/company/gopro-inc-837601-75484
1908,IMPRIVATA INC,IMPR,New York Stock Exchange,$15,"5,000,000","$75,000,000",6/25/2014,http://www.nasdaq.com/markets/ipos/company/imprivata-inc-674912-75022
1909,ADEPTUS HEALTH INC.,ADPT,New York Stock Exchange,$22,"4,900,000","$107,800,000",6/25/2014,http://www.nasdaq.com/markets/ipos/company/adeptus-health-inc-935353-75509
1910,"AMPHASTAR PHARMACEUTICALS, INC.",AMPH,NASDAQ,$7,"8,000,000","$56,000,000",6/25/2014,http://www.nasdaq.com/markets/ipos/company/amphastar-pharmaceuticals-inc-663987-75489
1911,MATERIALISE NV,MTLS,NASDAQ,$12,"8,000,000","$96,000,000",6/25/2014,http://www.nasdaq.com/markets/ipos/company/materialise-nv-217520-75043
1912,XUNLEI LTD,XNET,NASDAQ,$12,"7,315,000","$87,780,000",6/24/2014,http://www.nasdaq.com/markets/ipos/company/xunlei-ltd-857196-75531
1913,ECLIPSE RESOURCES CORP,ECR,New York Stock Exchange,$27,"30,300,000","$818,100,000",6/20/2014,http://www.nasdaq.com/markets/ipos/company/eclipse-resources-corp-933962-75326
1914,"KITE PHARMA, INC.",KITE,NASDAQ,$17,"7,500,000","$127,500,000",6/20/2014,http://www.nasdaq.com/markets/ipos/company/kite-pharma-inc-849731-75483
1915,"ARDELYX, INC.",ARDX,NASDAQ,$14,"4,286,000","$60,004,000",6/19/2014,http://www.nasdaq.com/markets/ipos/company/ardelyx-inc-780538-75487
1916,"ZAFGEN, INC.",ZFGN,NASDAQ,$16,"6,000,000","$96,000,000",6/19/2014,http://www.nasdaq.com/markets/ipos/company/zafgen-inc-720058-75203
1917,MARKIT LTD.,MRKT,NASDAQ,$24,"53,472,353","$1,283,336,472",6/19/2014,http://www.nasdaq.com/markets/ipos/company/markit-ltd-933992-75333
1918,"ZS PHARMA, INC.",ZSPH,NASDAQ,$18,"5,944,444","$106,999,992",6/18/2014,http://www.nasdaq.com/markets/ipos/company/zs-pharma-inc-801589-75444
1919,VIPER ENERGY PARTNERS LP,VNOM,NASDAQ,$26,"5,000,000","$130,000,000",6/18/2014,http://www.nasdaq.com/markets/ipos/company/viper-energy-partners-lp-934229-75361
1920,PARNELL PHARMACEUTICALS HOLDINGS LTD,PARN,NASDAQ,$10,"5,000,000","$50,000,000",6/18/2014,http://www.nasdaq.com/markets/ipos/company/parnell-pharmaceuticals-holdings-ltd-935098-75473
1921,"SIGNAL GENETICS, INC.",SGNL,NASDAQ,$10,"850,000","$8,500,000",6/18/2014,http://www.nasdaq.com/markets/ipos/company/signal-genetics-inc-930051-74924
1922,FORESIGHT ENERGY LP,FELP,New York Stock Exchange,$20,"17,500,000","$350,000,000",6/18/2014,http://www.nasdaq.com/markets/ipos/company/foresight-energy-lp-873272-69146
1923,"CENTURY COMMUNITIES, INC.",CCS,New York Stock Exchange,$23,"4,480,000","$103,040,000",6/18/2014,http://www.nasdaq.com/markets/ipos/company/century-communities-inc-906555-75324
1924,ABENGOA YIELD PLC,ABY,NASDAQ,$29,"24,850,000","$720,650,000",6/13/2014,http://www.nasdaq.com/markets/ipos/company/abengoa-yield-plc-931221-75035
1925,ASPEN AEROGELS INC,ASPN,New York Stock Exchange,$11,"7,500,000","$82,500,000",6/13/2014,http://www.nasdaq.com/markets/ipos/company/aspen-aerogels-inc-97015-75261
1926,MEMORIAL RESOURCE DEVELOPMENT CORP.,MRD,NASDAQ,$19,"42,800,000","$813,200,000",6/13/2014,http://www.nasdaq.com/markets/ipos/company/memorial-resource-development-corp-931571-75079
1927,"MOBILEIRON, INC.",MOBL,NASDAQ,$9,"11,111,111","$99,999,999",6/12/2014,http://www.nasdaq.com/markets/ipos/company/mobileiron-inc-810198-75094
1928,TRINSEO S.A.,TSE,New York Stock Exchange,$19,"10,000,000","$190,000,000",6/12/2014,http://www.nasdaq.com/markets/ipos/company/trinseo-sa-858520-74892
1929,NORDIC AMERICAN OFFSHORE LTD.,NAO,New York Stock Exchange,$16,"5,882,352","$94,117,632",6/12/2014,http://www.nasdaq.com/markets/ipos/company/nordic-american-offshore-ltd-929883-74904
1930,ZHAOPIN LTD,ZPIN,New York Stock Exchange,$13.50,"5,610,000","$75,735,000",6/12/2014,http://www.nasdaq.com/markets/ipos/company/zhaopin-ltd-724055-75339
1931,WL ROSS HOLDING CORP.,WLRHU,NASDAQ,$10,"43,500,000","$435,000,000",6/6/2014,http://www.nasdaq.com/markets/ipos/company/wl-ross-holding-corp-934480-75393
1932,"RADIUS HEALTH, INC.",RDUS,NASDAQ,$8,"6,500,000","$52,000,000",6/6/2014,http://www.nasdaq.com/markets/ipos/company/radius-health-inc-775825-74728
1933,"ARISTA NETWORKS, INC.",ANET,New York Stock Exchange,$43,"5,250,000","$225,750,000",6/6/2014,http://www.nasdaq.com/markets/ipos/company/arista-networks-inc-931003-75019
1934,"AVALANCHE BIOTECHNOLOGIES, INC.",AAVL,NASDAQ,$17,"6,000,000","$102,000,000",7/31/2014,http://www.nasdaq.com/markets/ipos/company/avalanche-biotechnologies-inc-921110-75880
1935,"CATALENT, INC.",CTLT,New York Stock Exchange,$20.50,"42,500,000","$871,250,000",7/31/2014,http://www.nasdaq.com/markets/ipos/company/catalent-inc-925423-74481
1936,HEALTHEQUITY INC,HQY,NASDAQ,$14,"9,100,000","$127,400,000",7/31/2014,http://www.nasdaq.com/markets/ipos/company/healthequity-inc-771871-75682
1937,MACROCURE LTD.,MCUR,NASDAQ,$10,"5,350,000","$53,500,000",7/31/2014,http://www.nasdaq.com/markets/ipos/company/macrocure-ltd-937750-75804
1938,MARINUS PHARMACEUTICALS INC,MRNS,NASDAQ,$8,"5,625,000","$45,000,000",7/31/2014,http://www.nasdaq.com/markets/ipos/company/marinus-pharmaceuticals-inc-601193-75413
1939,BIO BLAST PHARMA LTD.,ORPN,NASDAQ,$11,"3,200,000","$35,200,000",7/31/2014,http://www.nasdaq.com/markets/ipos/company/bio-blast-pharma-ltd-926749-74590
1940,TRANSOCEAN PARTNERS LLC,RIGP,New York Stock Exchange,$22,"17,500,000","$385,000,000",7/31/2014,http://www.nasdaq.com/markets/ipos/company/transocean-partners-llc-937707-75801
1941,SYNCHRONY FINANCIAL,SYF,New York Stock Exchange,$23,"125,000,000","$2,875,000,000",7/31/2014,http://www.nasdaq.com/markets/ipos/company/synchrony-financial-929636-74880
1942,WESTLAKE CHEMICAL PARTNERS LP,WLKP,New York Stock Exchange,$24,"11,250,000","$270,000,000",7/30/2014,http://www.nasdaq.com/markets/ipos/company/westlake-chemical-partners-lp-933537-75273
1943,"SPARK ENERGY, INC.",SPKE,NASDAQ,$18,"3,000,000","$54,000,000",7/29/2014,http://www.nasdaq.com/markets/ipos/company/spark-energy-inc-935960-75578
1944,CONTRAFECT CORP,CFRXU,NASDAQ,$6,"6,000,000","$36,000,000",7/29/2014,http://www.nasdaq.com/markets/ipos/company/contrafect-corp-835487-75195
1945,INNOCOLL AG,INNL,NASDAQ,$9,"6,500,000","$58,500,000",7/25/2014,http://www.nasdaq.com/markets/ipos/company/innocoll-ag-937594-75778
1946,"EL POLLO LOCO HOLDINGS, INC.",LOCO,NASDAQ,$15,"7,142,857","$107,142,855",7/25/2014,http://www.nasdaq.com/markets/ipos/company/el-pollo-loco-holdings-inc-937846-75823
1947,"OCULAR THERAPEUTIX, INC",OCUL,NASDAQ,$13,"5,000,000","$65,000,000",7/25/2014,http://www.nasdaq.com/markets/ipos/company/ocular-therapeutix-inc-738056-75787
1948,ORION ENGINEERED CARBONS S.A.,OEC,New York Stock Exchange,$18,"19,500,000","$351,000,000",7/25/2014,http://www.nasdaq.com/markets/ipos/company/orion-engineered-carbons-sa-936624-75663
1949,"ADVANCED DRAINAGE SYSTEMS, INC.",WMS,New York Stock Exchange,$16,"14,500,000","$232,000,000",7/25/2014,http://www.nasdaq.com/markets/ipos/company/advanced-drainage-systems-inc-931265-75042
1950,"INTERSECT ENT, INC.",XENT,NASDAQ,$11,"5,000,000","$55,000,000",7/24/2014,http://www.nasdaq.com/markets/ipos/company/intersect-ent-inc-607313-75810
1951,"TOWNSQUARE MEDIA, INC.",TSQ,New York Stock Exchange,$11,"8,333,333","$91,666,663",7/24/2014,http://www.nasdaq.com/markets/ipos/company/townsquare-media-inc-835956-75824
1952,PFENEX INC.,PFNX,American Stock Exchange,$6,"8,333,333","$49,999,998",7/24/2014,http://www.nasdaq.com/markets/ipos/company/pfenex-inc-817227-75640
1953,IMMUNE DESIGN CORP.,IMDZ,NASDAQ,$12,"5,000,000","$60,000,000",7/24/2014,http://www.nasdaq.com/markets/ipos/company/immune-design-corp-780925-75813
1954,"MEDICAL TRANSCRIPTION BILLING, CORP",MTBC,NASDAQ,$5,"4,080,000","$20,400,000",7/23/2014,http://www.nasdaq.com/markets/ipos/company/medical-transcription-billing-corp-922876-74253
1955,GLOBANT S.A.,GLOB,New York Stock Exchange,$10,"5,850,000","$58,500,000",7/18/2014,http://www.nasdaq.com/markets/ipos/company/globant-sa-914229-73348
1956,"SAGE THERAPEUTICS, INC.",SAGE,NASDAQ,$18,"5,000,000","$90,000,000",7/18/2014,http://www.nasdaq.com/markets/ipos/company/sage-therapeutics-inc-925099-75748
1957,TUBEMOGUL INC,TUBE,NASDAQ,$7,"6,250,000","$43,750,000",7/18/2014,http://www.nasdaq.com/markets/ipos/company/tubemogul-inc-791479-74986
1958,"TERRAFORM POWER, INC.",TERP,NASDAQ,$25,"20,065,000","$501,625,000",7/18/2014,http://www.nasdaq.com/markets/ipos/company/terraform-power-inc-935862-75567
1959,TRUPANION INC.,TRUP,New York Stock Exchange,$10,"7,125,000","$71,250,000",7/18/2014,http://www.nasdaq.com/markets/ipos/company/trupanion-inc-717071-75737
1960,TERRAPIN 3 ACQUISITION CORP,TRTLU,NASDAQ,$10,"18,500,000","$185,000,000",7/17/2014,http://www.nasdaq.com/markets/ipos/company/terrapin-3-acquisition-corp-937782-75814
1961,"ROKA BIOSCIENCE, INC.",ROKA,NASDAQ,$12,"5,000,000","$60,000,000",7/17/2014,http://www.nasdaq.com/markets/ipos/company/roka-bioscience-inc-812352-75507
1962,"CAREDX, INC.",CDNA,NASDAQ,$10,"4,000,000","$40,000,000",7/17/2014,http://www.nasdaq.com/markets/ipos/company/caredx-inc-394296-75619
1963,IRADIMED CORP,IRMD,NASDAQ,$6.25,"2,016,000","$12,600,000",7/16/2014,http://www.nasdaq.com/markets/ipos/company/iradimed-corp-672765-75760
1964,1347 CAPITAL CORP,TFSCU,NASDAQ,$10,"4,000,000","$40,000,000",7/16/2014,http://www.nasdaq.com/markets/ipos/company/1347-capital-corp-934030-75337
1965,"CACHET FINANCIAL SOLUTIONS, INC.",CHTF,OTCBB,$1.50,"4,775,000","$7,162,500",7/9/2014,http://www.nasdaq.com/markets/ipos/company/cachet-financial-solutions-inc-825339-75366
1966,GLOBEIMMUNE INC,GBIM,NASDAQ,$10,"1,500,000","$15,000,000",7/2/2014,http://www.nasdaq.com/markets/ipos/company/globeimmune-inc-412454-74901
1967,INVESTAR HOLDING CORP,ISTR,NASDAQ,$14,"2,875,000","$40,250,000",7/1/2014,http://www.nasdaq.com/markets/ipos/company/investar-holding-corp-935042-75456
1968,"MINERVA NEUROSCIENCES, INC.",NERV,NASDAQ,$6,"5,454,545","$32,727,270",7/1/2014,http://www.nasdaq.com/markets/ipos/company/minerva-neurosciences-inc-931916-75124
1969,SINO MERCURY ACQUISITION CORP.,SMACU,NASDAQ,$10,"4,000,000","$40,000,000",8/27/2014,http://www.nasdaq.com/markets/ipos/company/sino-mercury-acquisition-corp-939973-76008
